gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.45,NET.3.2.A21; NET.3.2.A28; NET.1.1.A12; NET.3.2.A20,NET.3.2.A21: Temporäre Entschlüsselung des Datenverkehrs; NET.3.2.A28: Zentrale Filterung von aktiven Inhalten; NET.1.1.A12: Absicherung ausgehender interner Kommunikation zum Internet; NET.3.2.A20: Absicherung von grundlegenden Internetprotokollen,"Gemittelte Kandidatenscores: NET.3.2.A21=0.45, NET.3.2.A28=0.45, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9000 gs_ids=NET.3.2.A28;NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A28 deckt die zentrale Filterung aktiver Inhalte über Sicherheitsproxies ab und nennt ausdrücklich auch die Entschlüsselung verschlüsselter Datenverkehre. NET.3.2.A21 deckt die temporäre Entschlüsselung verschlüsselter Verbindungen in nicht vertrauenswürdige Netze zur Protokollverifikation und Schadsoftwareprüfung ab. Beide Anforderungen passen damit inhaltlich zur Inspektion verschlüsselter Verbindungen. Die GS++-Anforderung ARCH.5.1.8 ist jedoch breiter formuliert: Sie verlangt eine Architektur für externe Netzanschlüsse, die den Inhalt unverschlüsselter und verschlüsselter Verbindungen abhängig von der Inhaltsart einschränken kann; das umfasst allgemeine Architektur- und Inhaltsrestriktion über die reine TLS-Entschlüsselung hinaus.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeine Architekturvorgabe für externe Netzanschlüsse sowie die explizite, inhaltsartabhängige Einschränkung von unverschlüsseltem und verschlüsseltem Verkehr. Die Kandidaten behandeln primär Proxy-/Firewall-gestützte Entschlüsselung und Filterung, nicht die übergreifende Architekturgestaltung.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.79,NET.1.1.A11; NET.1.1.A10; NET.1.1.A18; NET.1.1.A4; NET.1.1.A9; NET.3.3.A11,NET.1.1.A11: Absicherung eingehender Kommunikation vom Internet in das interne Netz; NET.1.1.A10: DMZ-Segmentierung für Zugriffe aus dem Internet; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung; NET.1.1.A4: Netztrennung in Zonen; NET.1.1.A9: Grundlegende Absicherung der Kommunikation mit nicht vertrauenswürdigen Netzen; NET.3.3.A11: Sichere Anbindung eines externen Netzes,"Gemittelte Kandidatenscores: NET.1.1.A11=0.79, NET.1.1.A10=0.43, NET.1.1.A18=0.43, NET.1.1.A4=0.43, NET.1.1.A9=0.43, NET.3.3.A11=0.36
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8700 gs_ids=NET.1.1.A10;NET.1.1.A4;NET.1.1.A9;NET.1.1.A18;NET.1.1.A11
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] Die GS++-Anforderung ARCH.2.2.1 verlangt, dass die Architektur für Netze Verbindungen über externe Netzanschlüsse einschränkt, um Angriffsfläche, unerwünschte Ein-/Ausleitungen und Datenabfluss zu reduzieren. Das wird inhaltlich durch NET.1.1.A4 (Zonentrennung und Firewall-Absicherung), NET.1.1.A9 (Einstufung nicht vertrauenswürdiger Netze und entsprechende Absicherung), NET.1.1.A10 (externe DMZ für aus dem Internet erreichbare Dienste), NET.1.1.A11 (sicherer, auf vertrauenswürdige Systeme beschränkter IP-Zugriff via VPN) und NET.1.1.A18 (P-A-P-Struktur bzw. Sicherheits-Proxies zur Entkopplung von Internetverkehr) teilweise abgedeckt. Diese Anforderungen beschreiben jedoch primär die Sicherung bzw. Segmentierung von Internet-/Netzanschlüssen und Zugängen, nicht allgemein die architektonische Einschränkung aller externen Netzanschlüsse. Insbesondere die explizite Steuerung externer Anschlüsse für mobile Systeme und die generelle Architekturregel, externe Verbindungen zu minimieren bzw. nur gezielt zuzulassen, werden nur indirekt getroffen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeine architektonische Vorgabe, externe Netzanschlüsse insgesamt zu begrenzen, sowie der explizite Bezug auf mobile Systeme und alternative sichere Direktanbindung (z. B. VPN ins gefilterte Netz oder Direct-Internet-Access-Agent). Die Kandidaten behandeln vor allem Internetanbindung, DMZ, VPN und Firewall-Strukturen, aber nicht die vollständige Regelung externer Anschlusskonzepte auf Architektur-Ebene.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.1.1.1,Dokumentation,normal-SdT,teilweise,0.35,APP.2.1.A1; APP.6.A10; APP.7.A6; CON.10.A11; CON.8.A12; DER.3.1.A6; DER.4.A12; IND.1.A11; IND.2.7.A1; NET.1.2.A12; SYS.1.1.A11; SYS.4.4.A6,APP.2.1.A1: Erstellung einer Sicherheitsrichtlinie für Verzeichnisdienste; APP.6.A10: Erstellung einer Sicherheitsrichtlinie für den Einsatz der Software; APP.7.A6: Dokumentation der Anforderungen an die Individualsoftware; CON.10.A11: Softwarearchitektur einer Webanwendung; CON.8.A12: Ausführliche Dokumentation; DER.3.1.A6: Definition der Prüfungsgrundlage und eines einheitlichen Bewertungsschemas; DER.4.A12: Dokumentation im Notfallmanagement-Prozess; IND.1.A11: Sichere Beschaffung und Systementwicklung; IND.2.7.A1: Erfassung und Dokumentation; NET.1.2.A12: Ist-Aufnahme und Dokumentation des Netzmanagements; SYS.1.1.A11: Festlegung einer Sicherheitsrichtlinie für Server; SYS.4.4.A6: Aufnahme von IoT-Geräten in die Sicherheitsrichtlinie der Institution,"Gemittelte Kandidatenscores: APP.2.1.A1=0.35, APP.6.A10=0.35, APP.7.A6=0.35, CON.10.A11=0.35, CON.8.A12=0.35, DER.3.1.A6=0.35, DER.4.A12=0.35, IND.1.A11=0.35, IND.2.7.A1=0.35, NET.1.2.A12=0.35, SYS.1.1.A11=0.35, SYS.4.4.A6=0.35
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7100 gs_ids=APP.6.A10;CON.8.A12;DER.4.A12;NET.1.2.A12;IND.1.A11;APP.7.A6;CON.10.A11;SYS.1.1.A11;SYS.4.4.A6;APP.2.1.A1;DER.3.1.A6;IND.2.7.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die GS++-Anforderung ARCH.1.1.1 verlangt die Dokumentation von Verfahren und Regelungen auf einer übergeordneten organisatorischen Ebene. Inhaltlich am nächsten liegen die Kandidaten APP.6.A10, APP.2.1.A1, SYS.1.1.A11 und SYS.4.4.A6, weil sie jeweils verlangen, Regeln/Richtlinien für den Einsatz bzw. Betrieb zu erstellen, bekannt zu machen und teils zu dokumentieren. CON.8.A12, CON.10.A11, APP.7.A6, NET.1.2.A12, IND.1.A11 und IND.2.7.A1 decken den Dokumentationsaspekt für Architektur-, Entwicklungs-, Netz- bzw. Anlagenkontexte ab. DER.4.A12 und DER.3.1.A6 betreffen die Dokumentation von Prozessen bzw. Audit-Bewertungsvorgaben, also ebenfalls eine formalisierte Dokumentation von Regelwerken und Abläufen. Insgesamt besteht aber keine einzelne und auch keine Kombination, die die allgemeine Anforderung vollständig abdeckt, weil die Kandidaten jeweils auf spezielle Domänen oder einzelne Regelungsarten begrenzt sind und nicht die generelle, institutionenweite Dokumentation von Verfahren und Regelungen als übergreifende Anforderung beschreiben.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeine, domänenunabhängige Dokumentation aller relevanten Verfahren und Regelungen sowie die explizite Ausrichtung an Management- und Umsetzungsrollen. Die Kandidaten behandeln überwiegend spezifische Fachdomänen (Software, Netz, Server, IoT, OT, Audit, Notfallmanagement) oder die Erstellung einzelner Richtlinien, aber keine allgemeine, institutionenweite Dokumentationspflicht für alle architektonischen Verfahren und Regelungen.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.5.1.12,Software-definierte Verbindungen,erhöht,teilweise,0.41,NET.3.2.A2; NET.3.2.A27; OPS.1.2.5.A14; OPS.1.2.5.A25,NET.3.2.A2: Festlegen der Firewall-Regeln; NET.3.2.A27: Einsatz verschiedener Firewall-Betriebssysteme und -Produkte in einer mehrstufigen Firewall-Architektur; OPS.1.2.5.A14: Dedizierte Clients und Konten bei der Fernwartung; OPS.1.2.5.A25: Entkopplung der Kommunikation bei der Fernwartung,"Gemittelte Kandidatenscores: NET.3.2.A2=0.41, NET.3.2.A27=0.41, OPS.1.2.5.A14=0.41, OPS.1.2.5.A25=0.41
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8200 gs_ids=NET.3.2.A2;NET.3.2.A27;OPS.1.2.5.A25;OPS.1.2.5.A14
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A2 und NET.3.2.A27 passen insofern, als sie die netzseitige Steuerung von Kommunikationsverbindungen über fest definierte Firewall-Regeln bzw. eine mehrstufige Firewall-Architektur behandeln. OPS.1.2.5.A25 und OPS.1.2.5.A14 adressieren ebenfalls die Einschränkung von Verbindungen in Fernwartungsszenarien, insbesondere über Sprungserver und die Beschränkung auf vertrauenswürdige Systeme. Gemeinsam decken diese Anforderungen den Aspekt ab, dass Verbindungen technisch eingeschränkt und segmentiert werden können.","[gpt-5.4-mini] Nicht abgedeckt sind die wesentlichen GS++-spezifischen Kernelemente: die dynamische, kontextabhängige Bewertung von Verbindungen anhand aktueller Merkmale (z. B. device posture, Auslastung, Standort, Risikobewertung), software-definierte/logisch kontrollierte Netzwerkpfade sowie adaptive Policies/Mikrosegmentierung mit unveränderten Regeln und variabler Bewertung. Die Kandidaten beschreiben überwiegend statische Allowlist-/Firewall- oder Fernwartungsregeln und keine echte dynamische Kriteriensteuerung.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.2.2.11,Physische Segmentierung,erhöht,teilweise,0.40,INF.14.A28; INF.14.A6; NET.1.1.A32; NET.1.1.A4; NET.1.2.A32; NET.1.1.A22; NET.1.1.A23; NET.1.1.A31; NET.1.1.A33,INF.14.A28: Physische Trennung der GA; INF.14.A6: Separierung von Netzen der GA; NET.1.1.A32: Physische Trennung von Management-Netzsegmenten; NET.1.1.A4: Netztrennung in Zonen; NET.1.2.A32: Physische Trennung des Managementnetzes; NET.1.1.A22: Spezifikation des Segmentierungskonzepts; NET.1.1.A23: Trennung von Netzsegmenten; NET.1.1.A31: Physische Trennung von Netzsegmenten; NET.1.1.A33: Mikrosegmentierung des Netzes,"Gemittelte Kandidatenscores: INF.14.A28=0.40, INF.14.A6=0.40, NET.1.1.A32=0.40, NET.1.1.A4=0.40, NET.1.2.A32=0.40, NET.1.1.A22=0.34, NET.1.1.A23=0.34, NET.1.1.A31=0.34, NET.1.1.A33=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.7900 gs_ids=NET.1.1.A4;INF.14.A28;NET.1.2.A32;NET.1.1.A32;INF.14.A6
[manual:gspp_compliance_v3approach] coverage=teilweise confidence=0.6711 gs_ids=NET.1.1.A31;NET.1.1.A23;NET.1.1.A33;NET.1.1.A22
Model-Begründungen:
[gpt-5.4-mini] Die GS++-Anforderung ARCH.2.2.11 fordert die physische Segmentierung bzw. physische Trennung von Netzen, um Netztrennung nicht nur logisch/virtuell, sondern auf physischer Ebene zu erzwingen. NET.1.1.A4 deckt die physische Trennung von Netz-Zonen (intern, DMZ, Außenanbindungen) als grundlegendes Netzdesign ab und passt damit direkt zum Kernaspekt. INF.14.A28 überträgt denselben Gedanken auf GA-Netze und verlangt bei erhöhtem Schutzbedarf physisch getrennte Zonen; damit ist die physische Segmentierung in einem konkreten Anwendungsbereich abgedeckt. NET.1.2.A32 fordert die physische Trennung des Managementnetzes von produktiven Netzen und adressiert ebenfalls die physische Segmentierung von Netzbereichen. NET.1.1.A32 verlangt die physische Trennung von Management-Netzsegmenten innerhalb des Managementbereichs und ist ebenfalls eine direkte inhaltliche Übereinstimmung. INF.14.A6 verlangt zwar zunächst logische Trennung, ergänzt dies aber für gebäudeübergreifende GA-Kommunikation ausdrücklich um eine Separierung auf Netzeebene; damit stützt es den Aspekt der physischen bzw. netztechnischen Trennung zwischen Segmenten. Zusammen decken diese Anforderungen den wesentlichen Inhalt von ARCH.2.2.11 ab.","[gpt-5.4-mini] Keine wesentlichen Lücken, da die Kandidaten die physische Trennung von Netzsegmenten direkt abdecken. Die Regelung ist in einigen Kandidaten sektor- oder kontextbezogen (Management, GA), aber der zentrale Schutzbedarf der physischen Segmentierung ist enthalten.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.2.2.9,Segmentierung von IPv4 und IPv6,normal-SdT,teilweise,0.46,NET.1.1.A20,NET.1.1.A20: Zuweisung dedizierter Subnetze für IPv4/IPv6-Endgerätegruppen,"Gemittelte Kandidatenscores: NET.1.1.A20=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9200 gs_ids=NET.1.1.A20
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] NET.1.1.A20 passt inhaltlich am ehesten, da es die Zuordnung unterschiedlicher IPv4-/IPv6-Endgerätegruppen zu dedizierten Subnetzen fordert und damit eine Trennung bzw. Segmentierung nach Protokoll adressiert. Die GS++-Anforderung ARCH.2.2.9 verlangt jedoch allgemeiner, Verbindungen zwischen IPv4 und IPv6 in der Architektur einzuschränken. NET.1.1.A20 deckt die Segmentierung auf Subnetzebene ab, nicht aber zwingend alle Verbindungs- und Kommunikationsrestriktionen zwischen IPv4- und IPv6-Bereichen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind explizite Vorgaben zur Einschränkung von Verbindungen zwischen IPv4- und IPv6-Segmenten, z. B. über Firewall-/Routing-Regeln oder andere technische Kopplungsbeschränkungen. Die Anforderung beschreibt primär die getrennte Zuordnung zu Subnetzen, nicht die vollständige Verkehrsbegrenzung zwischen den Protokollwelten.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ARCH.2.2.8,Segmentierung von Test und Betrieb,normal-SdT,teilweise,0.47,APP.4.4.A1; OPS.1.1.6.A13; SYS.1.7.A33,APP.4.4.A1: Planung der Separierung der Anwendungen; OPS.1.1.6.A13: Trennung der Testumgebung von der Produktivumgebung; SYS.1.7.A33: Trennung von Test- und Produktionssystemen unter z/OS,"Gemittelte Kandidatenscores: APP.4.4.A1=0.47, OPS.1.1.6.A13=0.47, SYS.1.7.A33=0.47
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9500 gs_ids=OPS.1.1.6.A13;SYS.1.7.A33;APP.4.4.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die Anforderung ARCH.2.2.8 verlangt, Verbindungen zwischen Testumgebungen und Betrieb einzuschränken bzw. eine saubere Trennung von Test- und Produktivumgebung sicherzustellen. OPS.1.1.6.A13 deckt dies direkt ab, da es ausdrücklich fordert, die Testumgebung von der Produktivumgebung getrennt zu betreiben. SYS.1.7.A33 entspricht inhaltlich ebenfalls dieser Trennung für z/OS-Umgebungen und adressiert zusätzlich technische Zugriffsmöglichkeiten über gemeinsame Festplatten und Parallel Sysplex. APP.4.4.A1 behandelt die Separierung von Test- und Produktions-Betriebsumgebungen in Kubernetes und verlangt dafür die Planung von Architekturen, Netzen und Separierungsmechanismen. Damit sind die wesentlichen Aspekte der GS++-Anforderung inhaltlich abgedeckt.",[gpt-5.4-mini] Keine wesentlichen Lücken; die Kandidaten decken die geforderte Trennung von Test und Betrieb auf allgemeiner bzw. plattformspezifischer Ebene ab.,gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ASST.2.2.1,Aufdecken unautorisierter IT-Systeme,normal-SdT,teilweise,0.46,OPS.1.1.1.A6; OPS.3.2.A14,"OPS.1.1.1.A6: Durchführung des IT-Asset-Managements; OPS.3.2.A14: Überwachung der Prozesse, Anwendungen und IT-Systeme","Gemittelte Kandidatenscores: OPS.1.1.1.A6=0.46, OPS.3.2.A14=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9200 gs_ids=OPS.1.1.1.A6;OPS.3.2.A14
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] OPS.1.1.1.A6 passt inhaltlich, weil die Anforderung ein vollständiges, aktuelles Inventar aller IT-Assets verlangt und damit eine wichtige Grundlage zum Erkennen unbekannter bzw. nicht autorisierter Systeme schafft. OPS.3.2.A14 passt ebenfalls teilweise, da eine kontinuierliche Überwachung der eingesetzten Prozesse, Anwendungen und IT-Systeme das Aufdecken unbekannter oder nicht autorisierter IT-Systeme unterstützen kann. Beide Anforderungen decken jedoch nicht die eigentliche Zielsetzung der GS++-Anforderung vollständig ab, nämlich das gezielte aktive oder passive Erkennen unautorisierter Systeme im Netz sowie deren Behandlung (z. B. Quarantäne, Entfernung, Autorisierung).","[gpt-5.4-mini] Nicht abgedeckt sind insbesondere die konkreten Detektionsmethoden für unbekannte Systeme im Netz (z. B. aktive Netzscans, passive Traffic-Analyse, WLAN-Detektion) sowie die anschließenden Maßnahmen zur Behandlung gefundener Systeme. OPS.1.1.1.A6 adressiert primär Inventarisierung, nicht Erkennung im laufenden Netzbetrieb.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ASST.7.1,Nicht mehr benötigte Anwendungen,normal-SdT,teilweise,0.46,APP.6.A13; SYS.1.9.A15; SYS.2.1.A16; SYS.3.2.2.A7; SYS.4.4.A13,APP.6.A13: Deinstallation von Software; SYS.1.9.A15: Härtung des Terminalservers; SYS.2.1.A16: Deaktivierung und Deinstallation nicht benötigter Komponenten und Kennungen; SYS.3.2.2.A7: Installation von Apps; SYS.4.4.A13: Deaktivierung und Deinstallation nicht benötigter Komponenten,"Gemittelte Kandidatenscores: APP.6.A13=0.46, SYS.1.9.A15=0.46, SYS.2.1.A16=0.46, SYS.3.2.2.A7=0.46, SYS.4.4.A13=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9100 gs_ids=APP.6.A13;SYS.2.1.A16;SYS.1.9.A15;SYS.3.2.2.A7;SYS.4.4.A13
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die Anforderungen APP.6.A13, SYS.2.1.A16, SYS.1.9.A15, SYS.3.2.2.A7 und SYS.4.4.A13 decken den Kernaspekt der Deinstallation bzw. Entfernung nicht mehr benötigter Anwendungen und Komponenten ab. APP.6.A13 fordert bei einer Deinstallation das Entfernen nicht mehr benötigter Dateien und das Rückgängigmachen von Systemeinträgen. SYS.2.1.A16 verlangt auf Clients die Deaktivierung oder Deinstallation nicht benötigter Programme, Dienste und auch Kennungen sowie die Verhinderung einer Reaktivierung. SYS.1.9.A15 fordert auf Terminalservern das Entfernen nicht benötigter Anwendungen oder alternativ die Unterbindung ihrer Ausführung. SYS.3.2.2.A7 beschreibt die Deinstallation von Apps per MDM, einschließlich erzwungener Deinstallation. SYS.4.4.A13 behandelt auf IoT-Geräten das Deaktivieren oder Deinstallieren nicht benötigter Protokolle, Dienste, Anmeldekennungen und Schnittstellen. Damit ist die eigentliche Entfernung nicht benötigter Software-/Anwendungskomponenten abgedeckt.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die explizit geforderten organisatorischen und inhaltlichen Ergänzungen der GS++-Anforderung: geregelter Prozess mit nachvollziehbarer Dokumentation, Umgang mit zugehörigen Konfigurationen, temporären Daten und Berechtigungen, sowie der Cloud-spezifische Fall, dass Daten zu löschen sind, wenn die Anwendungsinstanz nicht unter Kontrolle der Institution steht. Die Kandidaten behandeln überwiegend technische Deinstallation, aber nicht durchgängig die komplette Berechtigungs- und Datenbereinigung über alle Umgebungen hinweg.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
ASST.2.1.1,Informationsverantwortung,normal-SdT,teilweise,0.44,INF.13.A8; ORP.1.A2,INF.13.A8: Erstellung und Pflege eines Inventars für das TGM; ORP.1.A2: Zuweisung der Zuständigkeiten,"Gemittelte Kandidatenscores: INF.13.A8=0.44, ORP.1.A2=0.44
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=ORP.1.A2;INF.13.A8
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.1.A2 passt inhaltlich, weil dort für Geschäftsprozesse, Anwendungen, IT-Systeme, Räume, Gebäude und Kommunikationsverbindungen festgelegt werden muss, wer zuständig ist; das trifft den Kern der geforderten Zuordnung von Zuständigkeiten. INF.13.A8 ergänzt dies für das technische Gebäudemanagement, da im Inventar Verantwortlichkeiten und Zuständigkeiten ersichtlich sein sollen. Beide Anforderungen adressieren jedoch primär die Zuordnung von Zuständigkeiten zu Prozessen/Systemen bzw. Inventareinträgen, nicht ausdrücklich das Ownership bzw. die institutionsinterne Zuständigkeit für Informationen und deren Verarbeitung als solche. Die spezifische Asset-Ownership von Informationen wird daher nicht vollständig abgedeckt.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist die explizite Zuordnung der Zuständigkeit für konkrete Informationen und deren Verarbeitung (Information Asset Ownership), insbesondere die Möglichkeit, Informationen selbst oder nach Informations-Assets gruppiert zu verantworten. Die Kandidaten regeln vor allem Zuständigkeiten für Prozesse, Systeme und Inventare, nicht die informationsbezogene Verantwortlichkeit im engeren Sinn.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:59:23
