gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.48,ORP.5.A1,Identifikation der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.48, ORP.5.A4=0.48
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9700 gs_ids=ORP.5.A1;ORP.5.A4
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 passt inhaltlich, weil die Anforderung die Identifikation und Dokumentation aller gesetzlichen, vertraglichen und sonstigen Vorgaben mit Einfluss auf das Informationssicherheitsmanagement verlangt. ORP.5.A4 ergänzt dies, indem ein Prozess zur Identifikation aller relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben sowie deren Integration ins Compliance Management gefordert wird. Beide Anforderungen decken damit den rechtlichen/regulatorischen Teil der externen Rahmenbedingungen und den organisatorischen Umgang damit ab. Die GS++-Anforderung GC.2.1 geht jedoch deutlich weiter, weil sie zusätzlich gesellschaftliche und kulturelle Faktoren, technologische Entwicklungen, wirtschaftliche Bedingungen sowie ökologische und physische Umweltbedingungen systematisch erfassen, integrieren und priorisieren verlangt. Diese externen Kontextfaktoren werden von ORP.5.A1 und ORP.5.A4 nicht abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die systematische Betrachtung und Priorisierung nicht-rechtlicher externer Kontextfaktoren, insbesondere gesellschaftliche/kulturelle, technologische, wirtschaftliche sowie ökologische und physische Umweltbedingungen. Außerdem wird die explizite Priorisierung aller externen Rahmenbedingungen nicht vollständig getroffen.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.48,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: ORP.5.A1=0.48, ORP.5.A4=0.48
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9700 gs_ids=ORP.5.A1;ORP.5.A4
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 passt inhaltlich, weil die Anforderung die Identifikation und Dokumentation aller gesetzlichen, vertraglichen und sonstigen Vorgaben mit Einfluss auf das Informationssicherheitsmanagement verlangt. ORP.5.A4 ergänzt dies, indem ein Prozess zur Identifikation aller relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben sowie deren Integration ins Compliance Management gefordert wird. Beide Anforderungen decken damit den rechtlichen/regulatorischen Teil der externen Rahmenbedingungen und den organisatorischen Umgang damit ab. Die GS++-Anforderung GC.2.1 geht jedoch deutlich weiter, weil sie zusätzlich gesellschaftliche und kulturelle Faktoren, technologische Entwicklungen, wirtschaftliche Bedingungen sowie ökologische und physische Umweltbedingungen systematisch erfassen, integrieren und priorisieren verlangt. Diese externen Kontextfaktoren werden von ORP.5.A1 und ORP.5.A4 nicht abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die systematische Betrachtung und Priorisierung nicht-rechtlicher externer Kontextfaktoren, insbesondere gesellschaftliche/kulturelle, technologische, wirtschaftliche sowie ökologische und physische Umweltbedingungen. Außerdem wird die explizite Priorisierung aller externen Rahmenbedingungen nicht vollständig getroffen.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1.2,Anhörung zuständiger Stellen,normal-SdT,teilweise,0.42,DER.2.1.A4,Benachrichtigung betroffener Stellen bei Sicherheitsvorfällen,DER.2.1 Behandlung von Sicherheitsvorfällen,Basis,"Gemittelte Kandidatenscores: DER.2.1.A4=0.42, DER.2.2.A1=0.42, ORP.5.A4=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=ORP.5.A4;DER.2.1.A4;DER.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort der Prozess zur Identifikation relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben im Compliance Management beschrieben wird. Die GS++-Anforderung GC.7.1.2 geht jedoch darüber hinaus und verlangt ausdrücklich, die für die Einhaltung gesetzlicher Verpflichtungen zuständigen Stellen in der Institution anzuhören; dieser Konsultationsaspekt ist in ORP.5.A4 nicht explizit enthalten. DER.2.1.A4 und DER.2.2.A1 enthalten ebenfalls die Einbeziehung bestimmter Stellen wie Datenschutzbeauftragte, Betriebs-/Personalrat oder Rechtsabteilung bei Vorfällen bzw. forensischen Maßnahmen. Das zeigt eine ähnliche organisatorische Einbindung zuständiger Stellen, deckt aber nur spezielle Anlässe und nicht allgemein die Anhörung bei der Dokumentation von Compliance-Verpflichtungen ab.","[gpt-5.4-mini] Nicht abgedeckt sind der allgemeine, präventive Anhörungs-/Abstimmungsprozess mit zuständigen Stellen zur Dokumentation von Compliance-Verpflichtungen sowie die breite institutionelle Beteiligung über die in den Kandidaten genannten Spezialfälle hinaus. Die Kandidaten adressieren Identifikation von Vorgaben bzw. Einbindung bei Vorfällen/Forensik, aber nicht ausdrücklich die geforderte Anhörung zuständiger Stellen im Compliance-Management-Verfahren.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1.2,Anhörung zuständiger Stellen,normal-SdT,teilweise,0.42,DER.2.2.A1,Prüfung rechtlicher und regulatorischer Rahmenbedingungen zur Erfassung und Auswertbarkeit,DER.2.2 Vorsorge für die IT-Forensik,Basis,"Gemittelte Kandidatenscores: DER.2.1.A4=0.42, DER.2.2.A1=0.42, ORP.5.A4=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=ORP.5.A4;DER.2.1.A4;DER.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort der Prozess zur Identifikation relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben im Compliance Management beschrieben wird. Die GS++-Anforderung GC.7.1.2 geht jedoch darüber hinaus und verlangt ausdrücklich, die für die Einhaltung gesetzlicher Verpflichtungen zuständigen Stellen in der Institution anzuhören; dieser Konsultationsaspekt ist in ORP.5.A4 nicht explizit enthalten. DER.2.1.A4 und DER.2.2.A1 enthalten ebenfalls die Einbeziehung bestimmter Stellen wie Datenschutzbeauftragte, Betriebs-/Personalrat oder Rechtsabteilung bei Vorfällen bzw. forensischen Maßnahmen. Das zeigt eine ähnliche organisatorische Einbindung zuständiger Stellen, deckt aber nur spezielle Anlässe und nicht allgemein die Anhörung bei der Dokumentation von Compliance-Verpflichtungen ab.","[gpt-5.4-mini] Nicht abgedeckt sind der allgemeine, präventive Anhörungs-/Abstimmungsprozess mit zuständigen Stellen zur Dokumentation von Compliance-Verpflichtungen sowie die breite institutionelle Beteiligung über die in den Kandidaten genannten Spezialfälle hinaus. Die Kandidaten adressieren Identifikation von Vorgaben bzw. Einbindung bei Vorfällen/Forensik, aber nicht ausdrücklich die geforderte Anhörung zuständiger Stellen im Compliance-Management-Verfahren.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1.2,Anhörung zuständiger Stellen,normal-SdT,teilweise,0.42,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: DER.2.1.A4=0.42, DER.2.2.A1=0.42, ORP.5.A4=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=ORP.5.A4;DER.2.1.A4;DER.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort der Prozess zur Identifikation relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben im Compliance Management beschrieben wird. Die GS++-Anforderung GC.7.1.2 geht jedoch darüber hinaus und verlangt ausdrücklich, die für die Einhaltung gesetzlicher Verpflichtungen zuständigen Stellen in der Institution anzuhören; dieser Konsultationsaspekt ist in ORP.5.A4 nicht explizit enthalten. DER.2.1.A4 und DER.2.2.A1 enthalten ebenfalls die Einbeziehung bestimmter Stellen wie Datenschutzbeauftragte, Betriebs-/Personalrat oder Rechtsabteilung bei Vorfällen bzw. forensischen Maßnahmen. Das zeigt eine ähnliche organisatorische Einbindung zuständiger Stellen, deckt aber nur spezielle Anlässe und nicht allgemein die Anhörung bei der Dokumentation von Compliance-Verpflichtungen ab.","[gpt-5.4-mini] Nicht abgedeckt sind der allgemeine, präventive Anhörungs-/Abstimmungsprozess mit zuständigen Stellen zur Dokumentation von Compliance-Verpflichtungen sowie die breite institutionelle Beteiligung über die in den Kandidaten genannten Spezialfälle hinaus. Die Kandidaten adressieren Identifikation von Vorgaben bzw. Einbindung bei Vorfällen/Forensik, aber nicht ausdrücklich die geforderte Anhörung zuständiger Stellen im Compliance-Management-Verfahren.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.46,ORP.5.A1,Identifikation der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.46, ORP.5.A2=0.46, ORP.5.A4=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9200 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4, ORP.5.A1 und ORP.5.A2 decken die GS++-Anforderung inhaltlich gemeinsam ab: ORP.5.A1 fordert die Identifikation und Dokumentation aller gesetzlichen, vertraglichen und sonstigen Vorgaben mit Relevanz für das Informationssicherheitsmanagement; ORP.5.A4 verlangt dazu einen Prozess zur Identifikation relevanter Vorgaben sowie geeignete Prozesse und Organisationsstrukturen zur Integration sicherheitsrelevanter Anforderungen und Benennung von Zuständigen; ORP.5.A2 ergänzt die Beachtung der identifizierten Anforderungen in Planung, Konzeption und Umsetzung sowie die Festlegung von Verantwortlichkeiten und Korrekturmaßnahmen. Damit ist das geforderte Verfahren zur Sammlung, Integration und Priorisierung der Rahmenbedingungen inhaltlich abgedeckt.","[gpt-5.4-mini] Die GS++-Anforderung nennt zusätzlich explizit Priorisierung und Verankerung eines Verfahrens auf Governance-Ebene. Diese Punkte sind in den Kandidaten nur implizit bzw. nicht so explizit formuliert, werden jedoch durch die Kombination der genannten Anforderungen praktisch mit abgedeckt.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.46,ORP.5.A2,Beachtung der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.46, ORP.5.A2=0.46, ORP.5.A4=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9200 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4, ORP.5.A1 und ORP.5.A2 decken die GS++-Anforderung inhaltlich gemeinsam ab: ORP.5.A1 fordert die Identifikation und Dokumentation aller gesetzlichen, vertraglichen und sonstigen Vorgaben mit Relevanz für das Informationssicherheitsmanagement; ORP.5.A4 verlangt dazu einen Prozess zur Identifikation relevanter Vorgaben sowie geeignete Prozesse und Organisationsstrukturen zur Integration sicherheitsrelevanter Anforderungen und Benennung von Zuständigen; ORP.5.A2 ergänzt die Beachtung der identifizierten Anforderungen in Planung, Konzeption und Umsetzung sowie die Festlegung von Verantwortlichkeiten und Korrekturmaßnahmen. Damit ist das geforderte Verfahren zur Sammlung, Integration und Priorisierung der Rahmenbedingungen inhaltlich abgedeckt.","[gpt-5.4-mini] Die GS++-Anforderung nennt zusätzlich explizit Priorisierung und Verankerung eines Verfahrens auf Governance-Ebene. Diese Punkte sind in den Kandidaten nur implizit bzw. nicht so explizit formuliert, werden jedoch durch die Kombination der genannten Anforderungen praktisch mit abgedeckt.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.46,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: ORP.5.A1=0.46, ORP.5.A2=0.46, ORP.5.A4=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9200 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4, ORP.5.A1 und ORP.5.A2 decken die GS++-Anforderung inhaltlich gemeinsam ab: ORP.5.A1 fordert die Identifikation und Dokumentation aller gesetzlichen, vertraglichen und sonstigen Vorgaben mit Relevanz für das Informationssicherheitsmanagement; ORP.5.A4 verlangt dazu einen Prozess zur Identifikation relevanter Vorgaben sowie geeignete Prozesse und Organisationsstrukturen zur Integration sicherheitsrelevanter Anforderungen und Benennung von Zuständigen; ORP.5.A2 ergänzt die Beachtung der identifizierten Anforderungen in Planung, Konzeption und Umsetzung sowie die Festlegung von Verantwortlichkeiten und Korrekturmaßnahmen. Damit ist das geforderte Verfahren zur Sammlung, Integration und Priorisierung der Rahmenbedingungen inhaltlich abgedeckt.","[gpt-5.4-mini] Die GS++-Anforderung nennt zusätzlich explizit Priorisierung und Verankerung eines Verfahrens auf Governance-Ebene. Diese Punkte sind in den Kandidaten nur implizit bzw. nicht so explizit formuliert, werden jedoch durch die Kombination der genannten Anforderungen praktisch mit abgedeckt.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.6.1.4,Freigabe der Sicherheitsleitlinie,normal-SdT,teilweise,0.48,ISMS.1.A3,Erstellung einer Leitlinie zur Informationssicherheit,ISMS.1 Sicherheitsmanagement,Basis,"Gemittelte Kandidatenscores: ISMS.1.A3=0.48
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9700 gs_ids=ISMS.1.A3
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ISMS.1.A3 passt inhaltlich, weil dort die Institutionsleitung eine Leitlinie zur Informationssicherheit verabschieden soll. Die GS++-Anforderung GC.6.1.4 verlangt jedoch spezifisch die Autorisierung/Freigabe der festgelegten Sicherheitsleitlinie durch die Institutionsleitung, also den formalen Freigabeakt. ISMS.1.A3 deckt die inhaltliche Erstellung und Verabschiedung der Leitlinie durch die Leitung ab, aber die explizite Autorisierung als eigener Regelungsgehalt ist nicht in gleicher Klarheit enthalten.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist der explizite formale Freigabe-/Autorisierungsakt der bereits festgelegten Sicherheitsleitlinie. ISMS.1.A3 beschreibt vor allem Erstellung, Verabschiedung und Bekanntgabe der Leitlinie.",keep,"Deckt die Kernaspekte 'Sicherheitsleitlinie ist vorhanden/festgelegt' und 'Institutionsleitung entscheidet über die Leitlinie' ab, da die Institutionsleitung die Leitlinie zur Informationssicherheit verabschieden muss. Die in GC.6.1.4 geforderte explizite formale Autorisierung/Freigabe ist damit zwar nur teilweise und nicht in gleicher Spezifität abgebildet, aber im aktuellen Set gibt es keine andere GS-Anforderung, die diesen Aspekt übernimmt. Ohne ISMS.1.A3 bliebe somit kein Kernaspekt der Leitlinien-Freigabe durch die Institutionsleitung mehr abgedeckt; daher ist sie nicht redundant.",gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
GC.8.1.1.1.1,Vorspracherecht des Informationssicherheitsbeauftragten,normal-SdT,teilweise,0.93,ISMS.1.A4,Benennung eines oder einer Informationssicherheitsbeauftragten,ISMS.1 Sicherheitsmanagement,Basis,"ISMS.1.A4 passt am ehesten, weil dort ausdrücklich geregelt ist, dass die Institutionsleitung dem oder der ISB die Möglichkeit einräumen MUSS, bei Bedarf direkt an sie selbst zu berichten. Das trifft den Kern eines direkten Zugangs zur Leitung, jedoch nur als 'bei Bedarf' und nicht als ausdrücklich verankertes Vorspracherecht. ISMS.1.A1 ergänzt dies, da die Institutionsleitung regelmäßig über den Status der Informationssicherheit informiert werden MUSS und sich insbesondere über Risiken und Konsequenzen informieren lassen MUSS; damit wird die Leitungsinformation abgesichert, aber ebenfalls kein formales Vorspracherecht des ISB geschaffen. ISMS.1.A12 beschreibt regelmäßige Management-Berichte des oder der ISB an die Institutionsleitung und damit einen strukturierten Informationskanal an die Leitung, jedoch ohne die geforderte direkte, verankerte Vortrags- bzw. Vorsprachebefugnis. Zusammen decken die Anforderungen den Informationsfluss zur Leitung teilweise ab, nicht aber die explizite institutionelle Verankerung eines direkten Vorspracherechts des ISB.","Nicht abgedeckt ist die explizite, verbindliche Verankerung eines direkten Vorspracherechts des ISB bei der Institutionsleitung als eigenständige organisatorische Regelung. Die Kandidaten regeln nur Berichtsmöglichkeit, regelmäßige Information oder Management-Berichte, nicht aber ein formales Vorrang-/Direktvorspracherecht unabhängig von Bedarf, Berichtsrhythmus oder Berichtskanal.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:10:20
