gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,,normal-SdT,"Die Grundschutz++-Anforderung GC.1.1 ist identisch mit der klassischen IT-Grundschutz-Anforderung GC.1.1. Da die GS++-Anforderung lediglich eine Repräsentation der bestehenden Anforderung im Kontext des Anwenderkatalogs darstellt, deckt die Kandidatin [1] (GC.1.1) den Inhalt zu 100% ab.",,keep,"Notwendig, da sie den vollständigen Kernaspekt der Errichtung und Aufrechterhaltung eines ISMS direkt beschreibt. Es gibt im Set keine andere GS-Anforderung, die diesen Aspekt abdeckt; daher ist sie nicht redundant.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,Festlegung des externen Kontextes der Institution,,normal-SdT,"Die GS++-Anforderung GC.2.1 ist identisch mit der GS-Anforderung [1] GC.2.1. Da die GS++-Anforderung eine exakte Kopie der existierenden Grundschutz-Anforderung ist, ist die inhaltliche Abdeckung vollständig.",,keep,"Notwendig, da diese Anforderung den gesamten Kernaspekt des externen Kontexts abdeckt: Sammlung, Integration und Priorisierung aller relevanten externen Rahmenbedingungen. Es gibt keine andere GS-Anforderung im Set, die diesen Aspekt abdeckt.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,Festlegung des internen Kontextes der Institution,,normal-SdT,"Die Grundschutz++-Anforderung GC.2.2 ist inhaltlich identisch mit der Kandidaten-Anforderung [1] GC.2.2. Beide fordern die Verankerung eines Verfahrens zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen und beschreiben die zu analysierenden Faktoren (Strategien, Strukturen, Prozesse, Infrastruktur, Kultur) exakt gleich.",,keep,"Nicht redundant: Dies ist der einzige Kandidat im Set und entspricht der GS++-Anforderung inhaltlich exakt. Er deckt alle Kernaspekte ab (Verfahren zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen; Analyse und Dokumentation von Strategien, Struktur, Prozessen, IT-Infrastruktur und Sicherheitskultur). Ohne diese Anforderung ginge die vollständige Abdeckung verloren.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,Analyse der externen interessierten Parteien,,normal-SdT,"Die Grundschutz++-Anforderung GC.3.1 ist in dieser spezifischen Liste identisch mit der Kandidaten-Anforderung [1] GC.3.1. Da die Anforderung exakt denselben Wortlaut in Statement und Guidance aufweist (Ermittlung externer interessierter Parteien wie Gesetzgeber, Kunden, Dienstleister sowie deren Bewertung und Verankerung im ISMS), ist eine vollständige inhaltliche Deckung gegeben.",,keep,"Einzig vorhandener Kandidat und inhaltlich exakt deckungsgleich mit der GS++-Anforderung: Ermittlung aller externen interessierten Parteien, ihrer Bedürfnisse/Erwartungen sowie Bewertung von Relevanz/Priorität und Überführung verbindlicher Verpflichtungen ins ISMS.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,Analyse der internen interessierten Parteien,,normal-SdT,"Die Grundschutz++-Anforderung GC.3.2 ist inhaltlich identisch mit der Kandidaten-Anforderung [1] GC.3.2. Beide fordern die Verankerung eines Verfahrens zur Ermittlung aller internen interessierten Parteien sowie deren Bedürfnisse und Erwartungen (mit identischen Beispielen wie Geschäftsführung, Mitarbeiter, Betriebsrat).",,keep,Diese Anforderung ist inhaltlich identisch mit der GS++-Anforderung und deckt vollständig den Kernaspekt ab: ein Verfahren zur Ermittlung aller internen interessierten Parteien sowie ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Es gibt keinen redundanten Alternativkandidaten im Set.,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,Festlegung des Geltungsbereichs,,normal-SdT,"Die GS++-Anforderung GC.4.1 ist inhaltlich identisch mit der GS-Anforderung [1] GC.4.1. Beide fordern die Festlegung des Geltungsbereichs (Scope) des ISMS durch die Governance und Compliance nach Freigabe der Institutionsleitung, einschließlich der Abgrenzung von Geschäftsprozessen, Standorten, Systemen und externen Partnern.",,keep,"Nicht redundant, da diese Anforderung den vollständigen Kernaspekt der GS++-Anforderung abdeckt: den nachvollziehbar abgegrenzten und nach Freigabe der Institutionsleitung festgelegten Geltungsbereich des ISMS einschließlich Scope-Abgrenzung.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.95,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,"Die Grundschutz++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs dieser Prozesse und der verarbeiteten Informationen. Dies wird durch die Kandidaten [3] GC.5.1.1 (Festlegung der Geschäftsprozesse) und [2] GC.5.1.2 (Festlegung des Schutzbedarfs) vollständig abgedeckt: GC.5.1.1 adressiert den Aspekt der Prozessfestlegung, während GC.5.1.2 die eigentliche Einstufung des Schutzbedarfs (inkl. der Unterscheidung 'normal'/'hoch') und die Verknüpfung mit Geschäftszielen konkretisiert. Zusammen bilden sie das geforderte Verfahren ab.",,keep,Deckt den eigenständigen Kernaspekt der Festlegung relevanter Geschäftsprozesse im Verfahren ab. Dieser Aspekt wird von GC.5.1.2 nicht vollständig beschrieben und wäre ohne diese Anforderung verloren.,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.95,GC.5.1.2,Festlegung des Schutzbedarfs,,normal-SdT,"Die Grundschutz++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs dieser Prozesse und der verarbeiteten Informationen. Dies wird durch die Kandidaten [3] GC.5.1.1 (Festlegung der Geschäftsprozesse) und [2] GC.5.1.2 (Festlegung des Schutzbedarfs) vollständig abgedeckt: GC.5.1.1 adressiert den Aspekt der Prozessfestlegung, während GC.5.1.2 die eigentliche Einstufung des Schutzbedarfs (inkl. der Unterscheidung 'normal'/'hoch') und die Verknüpfung mit Geschäftszielen konkretisiert. Zusammen bilden sie das geforderte Verfahren ab.",,keep,"Deckt den eigenständigen Kernaspekt der Einstufung des Schutzbedarfs für relevante Geschäftsprozesse und verarbeitete Informationen ab, inklusive der Unterscheidung normal/hoch. Dieser Aspekt wird von GC.5.1.1 nicht abgedeckt.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,"Die GS++-Anforderung GC.5.1.1 ist identisch mit der Kandidaten-ID [1] GC.5.1.1. Zudem wird der inhaltliche Kontext der Festlegung der Geschäftsprozesse durch die Kandidaten-ID [2] GC.5.1 ergänzt, welche die Verankerung eines Verfahrens für die Festlegung von Geschäftsprozessen fordert. Da die GS++-Anforderung exakt durch die entsprechende GS-Anforderung [1] abgedeckt wird, ist die Abdeckung vollumfänglich.",,keep,Deckt den Kernaspekt der GS++-Anforderung direkt und vollständig ab: die für den Geltungsbereich relevanten Geschäftsprozesse festlegen. Ohne diese Anforderung wäre der zentrale Pflichtinhalt nicht mehr gesichert.,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,,normal-SdT,"Die GS++-Anforderung GC.5.1.1 ist identisch mit der Kandidaten-ID [1] GC.5.1.1. Zudem wird der inhaltliche Kontext der Festlegung der Geschäftsprozesse durch die Kandidaten-ID [2] GC.5.1 ergänzt, welche die Verankerung eines Verfahrens für die Festlegung von Geschäftsprozessen fordert. Da die GS++-Anforderung exakt durch die entsprechende GS-Anforderung [1] abgedeckt wird, ist die Abdeckung vollumfänglich.",,remove,"Ist gegenüber GC.5.1.1 zu allgemein und enthält zusätzliche Aspekte (Verfahren, Einstufung des Schutzbedarfs), die nicht Kern der GS++-Anforderung sind. Der relevante Teilaspekt 'Festlegung der Geschäftsprozesse' wird bereits vollständig durch GC.5.1.1 abgedeckt.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:20:12
