gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,0.99,GC.1.1,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS,"Die GS++-Anforderung GC.1.1 ist identisch mit der Kandidatenanforderung GC.1.1. Beide fordern ausdrücklich die Errichtung und Aufrechterhaltung eines ISMS durch verankerte Verfahren und Regelungen. Inhalt, Regelungsart, Detaillierung und Zielrichtung stimmen vollständig überein.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,0.99,GC.2.1,GC.2.1: Festlegung des externen Kontextes der Institution,"GC.2.1 ist inhaltlich identisch zur GS++-Anforderung. Beide verlangen ein Verfahren zur Sammlung, Integration und Priorisierung aller für das Informationssicherheitsmanagement relevanten externen Rahmenbedingungen bzw. den externen Kontext der Institution. Die genannten externen Faktoren (gesellschaftlich/kulturell, rechtlich/regulatorisch, technologisch, wirtschaftlich sowie ökologische/physische Umweltbedingungen) stimmen ebenfalls überein.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,0.99,GC.2.2,GC.2.2: Festlegung des internen Kontextes der Institution,"Die Kandidatin GC.2.2 deckt die GS++-Anforderung inhaltlich vollständig ab: Beide fordern ein Verfahren zur Sammlung, Integration und Priorisierung der für das Informationssicherheitsmanagement relevanten internen Rahmenbedingungen. Auch die in der Guidance genannten internen Faktoren (Strategien, Ziele, Struktur, Prozesse, Infrastruktur, Kultur) entsprechen unmittelbar der GS++-Anforderung.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,0.99,GC.3.1,GC.3.1: Analyse der externen interessierten Parteien,"GC.3.1 deckt die Grundschutz++-Anforderung inhaltlich vollständig ab: Beide beschreiben ein Verfahren zum Ermitteln aller externen interessierten Parteien, zur Erfassung ihrer Bedürfnisse und Erwartungen an das ISMS sowie zur Bewertung von Relevanz/Priorität und zur Überführung verbindlicher Anforderungen ins ISMS. Es liegt eine nahezu wortgleiche Übereinstimmung vor.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,0.99,GC.3.2,GC.3.2: Analyse der internen interessierten Parteien,"GC.3.2 ist inhaltlich identisch zur Grundschutz++-Anforderung: Beide verlangen ein Verfahren zum Ermitteln aller internen interessierten Parteien sowie ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Auch die Beispiele in der Guidance (Geschäftsführung, Mitarbeitende, Führungskräfte, Betriebsrat/Personalrat) stimmen überein.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,keine,0.12,GC.1.1; GC.6.1.2,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS; GC.6.1.2: Verpflichtung der Institutionsleitung,"Keine der Kandidaten deckt die GS++-Anforderung GC.4.1 inhaltlich ab. GC.1.1 beschreibt allgemein die Errichtung und Aufrechterhaltung eines ISMS, aber nicht die konkrete Festlegung und Abgrenzung des Geltungsbereichs. GC.6.1.2 betrifft die formale Verpflichtung der Institutionsleitung, nicht die Scope-Definition. Die übrigen Kandidaten behandeln Kontextanalyse, Sicherheitsleitlinie, Ziele, Compliance oder Schutzbedarf und sind ebenfalls nicht gleichbedeutend mit der Festlegung eines nachvollziehbar abgegrenzten ISMS-Geltungsbereichs nach Freigabe.","Es fehlt die explizite Anforderung, den ISMS-Scope formal festzulegen, organisatorisch und infrastrukturell abzugrenzen, eingeschlossene und ausgeschlossene Bereiche zu benennen sowie die Freigabe durch die Institutionsleitung für genau diesen Geltungsbereich zu verlangen.",gpt-5.4-mini,2026-04-22T14:30:48
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.99,GC.5.1; GC.5.1.1; GC.5.1.2,GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung; GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1.2: Festlegung des Schutzbedarfs,"Die GS++-Anforderung GC.5.1 wird inhaltlich direkt durch GC.5.1 abgedeckt; der Wortlaut ist identisch und beschreibt genau das Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs. Ergänzend konkretisieren GC.5.1.1 (Festlegung der Geschäftsprozesse) und GC.5.1.2 (Festlegung des Schutzbedarfs) die beiden wesentlichen Teilaspekte der Anforderung: erst die Identifikation relevanter Geschäftsprozesse, dann die prozessorientierte Schutzbedarfsfeststellung für Geschäftsprozesse und Informationen. Zusammen decken diese Anforderungen den gesamten Inhalt der GS++-Anforderung vollständig ab.",Keine inhaltlichen Lücken; die Kandidatenliste enthält die direkte Entsprechung sowie die beiden fachlichen Teilanforderungen.,gpt-5.4-mini,2026-04-22T14:30:48
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,0.99,GC.5.1.1,GC.5.1.1: Festlegung der Geschäftsprozesse,"Die Kandidatenanfrage entspricht inhaltlich exakt der GS++-Anforderung. GC.5.1.1 fordert ausdrücklich, dass Governance und Compliance die für den Geltungsbereich relevanten Geschäftsprozesse festlegt; der identische Wortlaut und der gleiche Regelungsgehalt sind in GC.5.1.1 enthalten. Keine weiteren Kandidaten sind dafür erforderlich.",,gpt-5.4-mini,2026-04-22T14:30:48
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,voll,0.99,GC.5.1.2,GC.5.1.2: Festlegung des Schutzbedarfs,GC.5.1.2 ist eine direkte inhaltliche und textgleiche Entsprechung der Grundschutz++-Anforderung „Festlegung des Schutzbedarfs“. Sie fordert ebenfalls die Einstufung des Schutzbedarfs relevanter Geschäftsprozesse und Informationsarten unter Berücksichtigung der Geschäftsziele und in Absprache mit der Institutionsleitung; auch die Einstufung in „normal“ oder „hoch“ sowie die Begründung über existenzbedrohenden Schaden bzw. besonders vertrauliche Informationen sind identisch beschrieben.,,gpt-5.4-mini,2026-04-22T14:30:48
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,teilweise,0.96,GC.5.1,GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung,"GC.5.1 deckt den Kern der Anforderung ab, weil dort ein Verfahren zur systematischen Festlegung des Schutzbedarfs von Geschäftsprozessen und verarbeiteten Informationen verlangt wird, inklusive der Unterscheidung normal/hoch. GC.5.1.2 konkretisiert die Einstufung des Schutzbedarfs relevanter Geschäftsprozesse und Informationsarten unter Berücksichtigung der Geschäftsziele und in Absprache mit der Institutionsleitung. Gegenüber GC.5.1.3 fehlt jedoch die explizite Forderung nach einer dedizierten Risikobetrachtung in einem separaten Dokument mit verbindlichen Vorgaben zur Risikomethodik; daher nur teilweise Abdeckung.","Nicht abgedeckt sind die explizite Risikobetrachtung als eigenständiges Vorgehen sowie die Vorgabe, dass die Risikomethodik in einem separaten Dokument verbindlich festgelegt wird.",gpt-5.4-mini,2026-04-22T14:30:48
