gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS,"Die Grundschutz++-Anforderung GC.1.1 ist identisch mit der klassischen IT-Grundschutz-Anforderung GC.1.1. Da die GS++-Anforderung lediglich eine Repräsentation der bestehenden Anforderung im Kontext des Anwenderkatalogs darstellt, deckt die Kandidatin [1] (GC.1.1) den Inhalt zu 100% ab.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,GC.2.1: Festlegung des externen Kontextes der Institution,"Die GS++-Anforderung GC.2.1 ist identisch mit der GS-Anforderung [1] GC.2.1. Da die GS++-Anforderung eine exakte Kopie der existierenden Grundschutz-Anforderung ist, ist die inhaltliche Abdeckung vollständig.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,GC.2.2: Festlegung des internen Kontextes der Institution,"Die Grundschutz++-Anforderung GC.2.2 ist inhaltlich identisch mit der Kandidaten-Anforderung [1] GC.2.2. Beide fordern die Verankerung eines Verfahrens zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen und beschreiben die zu analysierenden Faktoren (Strategien, Strukturen, Prozesse, Infrastruktur, Kultur) exakt gleich.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,GC.3.1: Analyse der externen interessierten Parteien,"Die Grundschutz++-Anforderung GC.3.1 ist in dieser spezifischen Liste identisch mit der Kandidaten-Anforderung [1] GC.3.1. Da die Anforderung exakt denselben Wortlaut in Statement und Guidance aufweist (Ermittlung externer interessierter Parteien wie Gesetzgeber, Kunden, Dienstleister sowie deren Bewertung und Verankerung im ISMS), ist eine vollständige inhaltliche Deckung gegeben.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,GC.3.2: Analyse der internen interessierten Parteien,"Die Grundschutz++-Anforderung GC.3.2 ist inhaltlich identisch mit der Kandidaten-Anforderung [1] GC.3.2. Beide fordern die Verankerung eines Verfahrens zur Ermittlung aller internen interessierten Parteien sowie deren Bedürfnisse und Erwartungen (mit identischen Beispielen wie Geschäftsführung, Mitarbeiter, Betriebsrat).",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,GC.4.1: Festlegung des Geltungsbereichs,"Die GS++-Anforderung GC.4.1 ist inhaltlich identisch mit der GS-Anforderung [1] GC.4.1. Beide fordern die Festlegung des Geltungsbereichs (Scope) des ISMS durch die Governance und Compliance nach Freigabe der Institutionsleitung, einschließlich der Abgrenzung von Geschäftsprozessen, Standorten, Systemen und externen Partnern.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.95,GC.5.1.1; GC.5.1.2,GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1.2: Festlegung des Schutzbedarfs,"Die Grundschutz++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs dieser Prozesse und der verarbeiteten Informationen. Dies wird durch die Kandidaten [3] GC.5.1.1 (Festlegung der Geschäftsprozesse) und [2] GC.5.1.2 (Festlegung des Schutzbedarfs) vollständig abgedeckt: GC.5.1.1 adressiert den Aspekt der Prozessfestlegung, während GC.5.1.2 die eigentliche Einstufung des Schutzbedarfs (inkl. der Unterscheidung 'normal'/'hoch') und die Verknüpfung mit Geschäftszielen konkretisiert. Zusammen bilden sie das geforderte Verfahren ab.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1; GC.5.1,GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung,"Die GS++-Anforderung GC.5.1.1 ist identisch mit der Kandidaten-ID [1] GC.5.1.1. Zudem wird der inhaltliche Kontext der Festlegung der Geschäftsprozesse durch die Kandidaten-ID [2] GC.5.1 ergänzt, welche die Verankerung eines Verfahrens für die Festlegung von Geschäftsprozessen fordert. Da die GS++-Anforderung exakt durch die entsprechende GS-Anforderung [1] abgedeckt wird, ist die Abdeckung vollumfänglich.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,voll,1.00,GC.5.1.2,GC.5.1.2: Festlegung des Schutzbedarfs,"Die Grundschutz++-Anforderung GC.5.1.2 ist identisch mit der im Kompendium gelisteten Kandidaten-Anforderung [1] GC.5.1.2. Da der Text der GS++-Anforderung eine exakte Kopie der klassischen Grundschutz-Anforderung ist, ist die inhaltliche Abdeckung vollumfänglich gegeben.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,voll,1.00,GC.5.1.3,GC.5.1.3: Geschäftsprozesse mit hohem Schutzbedarf,"Die Grundschutz++-Anforderung GC.5.1.3 ist eine identische Kopie der vorhandenen IT-Grundschutz-Anforderung [1] GC.5.1.3. Da die GS++-Anforderung exakt den Wortlaut und die inhaltliche Forderung der klassischen Anforderung übernimmt (dedizierte Risikobetrachtung für hohen Schutzbedarf sowie verbindliche Vorgaben zur Methodik in einem separaten Dokument), besteht eine vollständige Deckung durch die Anforderung GC.5.1.3.",,google/gemma-4-26b-a4b-it,2026-04-22T15:20:12
